States,Total17,M17,F17,Total18,M18,F18,Total19,M19,F19,Percentage,Average_M,Average_F
Johor,2108,1981,127,2352,2214,138,2371,2243,128,0.81,2146,131
Kedah,2655,2579,76,2693,2631,62,3582,3469,113,33.01,2893,84
Kelantan,3700,3643,57,4153,4094,59,2998,2944,54,-27.81,3560,57
Melaka,613,590,23,736,709,27,819,771,48,11.28,690,33
Negeri Sembilan,1012,967,45,1374,1302,72,1244,1183,61,-9.46,1151,59
Pahang,2088,2002,86,1749,1686,63,1672,1610,62,-4.4,1766,70
Perak,1557,1513,44,1820,1728,92,2046,1953,93,12.42,1731,76
Perlis,654,629,25,582,556,26,316,301,15,-45.7,495,22
Pulau Pinang,3844,3695,149,2303,2228,75,2893,2762,131,25.62,2895,118
Sabah,1047,1005,42,1200,1160,40,1574,1478,96,31.17,1214,59
Sarawak,440,413,27,693,646,47,852,777,75,22.94,612,50
Selangor,2375,2240,135,2228,2126,102,2385,2260,125,7.05,2209,121
Terengganu,2044,1995,49,2057,1990,67,2123,2083,40,3.21,2023,52
W.P. Kuala Lumpur,1655,1553,102,1223,1146,77,1023,940,83,-16.35,1213,87
W.P. Labuan,92,85,7,72,67,5,139,133,6,93.06,95,6
W.P. Putrajaya,38,36,2,32,31,1,43,42,1,34.38,36,1
